rank,obs_publisher_did,instrument_name,target_name,project_code,resolution_class,best_channel_width_kHz,usable_for_37kHz_halo_line,target_priority_reason,t_exptime_s,access_url,queue_score
1,DEMO-HIRES.eb0001,EVLA,PSR J1745-2900,DEMO-HIRES,excellent,8.0,True,gc_magnetar,800.0,https://data.nrao.edu/,148.0
2,12B-375.sb14247826.eb14310856.56277.66487861111,EVLA,J1745-2900,12B-375,unknown,,False,gc_magnetar,89.75,https://data.nrao.edu/portal/#/productViewer/12B-375.sb14247826.eb14310856.56277.66487861111,105.8975
3,14A-232.sb28857771.eb29015194.56725.408101863424,EVLA,SGRA,14A-232,not_suitable,2000.0,False,gc_magnetar,568.45,https://data.nrao.edu/portal/#/productViewer/14A-232.sb28857771.eb29015194.56725.408101863424,105.6845
4,24A-198.sb45864237.eb46834095.60589.89352416666,EVLA,J1,24A-198,not_suitable,2000.0,False,gc_magnetar,124.7,https://data.nrao.edu/portal/#/productViewer/24A-198.sb45864237.eb46834095.60589.89352416666,101.247
5,12B-375.sb20703080.eb20806694.56402.33224212963,EVLA,J1745-2900,12B-375,not_suitable,2000.0,False,gc_magnetar,89.75,https://data.nrao.edu/portal/#/productViewer/12B-375.sb20703080.eb20806694.56402.33224212963,100.8975
6,24A-198.sb45864237.eb46834095.60589.89352416666,EVLA,J1745-2900,24A-198,not_suitable,2000.0,False,gc_magnetar,59.8,https://data.nrao.edu/portal/#/productViewer/24A-198.sb45864237.eb46834095.60589.89352416666,100.598
7,20A-390.sb37850360.eb38161223.58986.11769460648,EVLA,3C286,20A-390,excellent,7.8125,True,calibrator_or_bandpass,239.35,https://data.nrao.edu/portal/#/productViewer/20A-390.sb37850360.eb38161223.58986.11769460648,47.3935
8,20A-390.sb37850360.eb38161223.58986.11769460648,EVLA,TWHya,20A-390,excellent,7.8125,True,generic_field_or_calibrator,264.3,https://data.nrao.edu/portal/#/productViewer/20A-390.sb37850360.eb38161223.58986.11769460648,42.643
9,20A-390.sb37850360.eb38161223.58986.11769460648,EVLA,J1037-2934,20A-390,excellent,7.8125,True,generic_field_or_calibrator,29.9,https://data.nrao.edu/portal/#/productViewer/20A-390.sb37850360.eb38161223.58986.11769460648,40.299
10,15B-243.sb31337425.eb31361697.57317.44082805555,EVLA,NGC2146,15B-243,unknown,,False,generic_field_or_calibrator,588.4,https://data.nrao.edu/portal/#/productViewer/15B-243.sb31337425.eb31361697.57317.44082805555,10.884
11,12B-375.sb14247826.eb14310856.56277.66487861111,EVLA,3C286,12B-375,unknown,,False,calibrator_or_bandpass,59.85,https://data.nrao.edu/portal/#/productViewer/12B-375.sb14247826.eb14310856.56277.66487861111,10.5985
12,15A-235.sb31410671.eb31411796.57339.694261192126,EVLA,1331+305=3C286,15A-235,unknown,,False,calibrator_or_bandpass,59.85,https://data.nrao.edu/portal/#/productViewer/15A-235.sb31410671.eb31411796.57339.694261192126,10.5985
13,17A-335.sb33996298.eb33997818.57942.17145609954,EVLA,3C286,17A-335,unknown,,False,calibrator_or_bandpass,59.85,https://data.nrao.edu/portal/#/productViewer/17A-335.sb33996298.eb33997818.57942.17145609954,10.5985
14,15B-273.sb31973786.eb32201969.57535.40765246528,EVLA,1331+305=3C286,15B-273,unknown,,False,calibrator_or_bandpass,56.65,https://data.nrao.edu/portal/#/productViewer/15B-273.sb31973786.eb32201969.57535.40765246528,10.5665
15,12B-375.sb14247826.eb14310856.56277.66487861111,EVLA,J1744-3116,12B-375,unknown,,False,calibrator_or_bandpass,44.9,https://data.nrao.edu/portal/#/productViewer/12B-375.sb14247826.eb14310856.56277.66487861111,10.449
16,17A-059.sb33403172.eb33649879.57859.1199734375,EVLA,1331+305=3C286,17A-059,unknown,,False,calibrator_or_bandpass,29.95,https://data.nrao.edu/portal/#/productViewer/17A-059.sb33403172.eb33649879.57859.1199734375,10.2995
17,17A-059.sb33403172.eb33649879.57859.1199734375,EVLA,GN20,17A-059,unknown,,False,generic_field_or_calibrator,468.7,https://data.nrao.edu/portal/#/productViewer/17A-059.sb33403172.eb33649879.57859.1199734375,9.687000000000001
18,13A-398.sb21301698.eb21782879.56427.08940965278,EVLA,GN29,13A-398,unknown,,False,generic_field_or_calibrator,384.95,https://data.nrao.edu/portal/#/productViewer/13A-398.sb21301698.eb21782879.56427.08940965278,8.849499999999999
19,13A-398.sb21301698.eb21782879.56427.08940965278,EVLA,GN30,13A-398,unknown,,False,generic_field_or_calibrator,384.95,https://data.nrao.edu/portal/#/productViewer/13A-398.sb21301698.eb21782879.56427.08940965278,8.849499999999999
20,13A-398.sb21301698.eb21782879.56427.08940965278,EVLA,GN31,13A-398,unknown,,False,generic_field_or_calibrator,384.95,https://data.nrao.edu/portal/#/productViewer/13A-398.sb21301698.eb21782879.56427.08940965278,8.849499999999999
21,13A-398.sb21301698.eb21782879.56427.08940965278,EVLA,GN32,13A-398,unknown,,False,generic_field_or_calibrator,384.95,https://data.nrao.edu/portal/#/productViewer/13A-398.sb21301698.eb21782879.56427.08940965278,8.849499999999999
22,13A-398.sb21301698.eb21782879.56427.08940965278,EVLA,GN33,13A-398,unknown,,False,generic_field_or_calibrator,384.95,https://data.nrao.edu/portal/#/productViewer/13A-398.sb21301698.eb21782879.56427.08940965278,8.849499999999999
23,13A-398.sb21301698.eb21782879.56427.08940965278,EVLA,GN34,13A-398,unknown,,False,generic_field_or_calibrator,384.95,https://data.nrao.edu/portal/#/productViewer/13A-398.sb21301698.eb21782879.56427.08940965278,8.849499999999999
24,13A-398.sb21301698.eb21782879.56427.08940965278,EVLA,GN35,13A-398,unknown,,False,generic_field_or_calibrator,384.95,https://data.nrao.edu/portal/#/productViewer/13A-398.sb21301698.eb21782879.56427.08940965278,8.849499999999999
25,15B-125.sb31528031.eb31550960.57388.12196207176,EVLA,MACSJ0451-A,15B-125,unknown,,False,generic_field_or_calibrator,339.1,https://data.nrao.edu/portal/#/productViewer/15B-125.sb31528031.eb31550960.57388.12196207176,8.391
26,15B-197.sb31207751.eb31413430.57341.31432148148,EVLA,NGC1140,15B-197,unknown,,False,generic_field_or_calibrator,314.1,https://data.nrao.edu/portal/#/productViewer/15B-197.sb31207751.eb31413430.57341.31432148148,8.141
